rate,directors,casts,star,cover,id,url,title
8.3,"[""关锦鹏""]","[""梅艳芳"",""张国荣"",""万梓良"",""朱宝意"",""温碧霞""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2205476838.jpg,1299288,https://movie.douban.com/subject/1299288/,胭脂扣
7.4,"[""王家卫""]","[""梁朝伟"",""章子怡"",""王菲"",""木村拓哉"",""巩俐""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1910826918.jpg,1291555,https://movie.douban.com/subject/1291555/,2046
7.5,"[""蒂姆·米勒""]","[""瑞恩·雷诺兹"",""莫蕾娜·巴卡林"",""艾德·斯克林"",""T·J·米勒"",""吉娜·卡拉诺""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2309264172.jpg,3718279,https://movie.douban.com/subject/3718279/,死侍
7.7,"[""大卫·O·拉塞尔""]","[""布莱德利·库珀"",""詹妮弗·劳伦斯"",""罗伯特·德尼罗"",""杰基·韦佛"",""克里斯·塔克""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1755867083.jpg,3094909,https://movie.douban.com/subject/3094909/,乌云背后的幸福线
8.8,"[""李安""]","[""赵文瑄"",""归亚蕾"",""金素梅"",""郎雄"",""米切尔·利希藤斯坦""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2173713676.jpg,1303037,https://movie.douban.com/subject/1303037/,喜宴
7.6,"[""马丁·斯科塞斯""]","[""莱昂纳多·迪卡普里奥"",""乔纳·希尔"",""玛格特·罗比"",""马修·麦康纳"",""凯尔·钱德勒""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2160254162.jpg,2997076,https://movie.douban.com/subject/2997076/,华尔街之狼
7.5,"[""杨雅喆""]","[""桂纶镁"",""张孝全"",""凤小岳"",""张书豪""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1578950461.jpg,6829652,https://movie.douban.com/subject/6829652/,女朋友○男朋友
7.2,"[""派蒂·杰金斯""]","[""盖尔·加朵"",""克里斯·派恩"",""康妮·尼尔森"",""罗宾·怀特"",""丹尼·赫斯顿""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2460006593.jpg,1578714,https://movie.douban.com/subject/1578714/,神奇女侠
8.1,"[""岩井俊二""]","[""松隆子"",""田边诚一"",""江口洋介"",""津田宽治"",""市川染五郎""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2107289058.jpg,1292371,https://movie.douban.com/subject/1292371/,四月物语
6.8,"[""莱恩·约翰逊""]","[""约瑟夫·高登-莱维特"",""布鲁斯·威利斯"",""艾米莉·布朗特"",""保罗·达诺"",""皮尔斯·加格农""]",35,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1605986424.jpg,3179706,https://movie.douban.com/subject/3179706/,环形使者
8.7,"[""丹尼斯·甘塞尔""]","[""尤尔根·沃格尔"",""弗雷德里克·劳"",""马克思·雷迈特"",""詹妮弗·乌尔里希"",""克里斯蒂安娜·保罗""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1344888983.jpg,2297265,https://movie.douban.com/subject/2297265/,浪潮
7.6,"[""王家卫""]","[""诺拉·琼斯"",""裘德·洛"",""娜塔莉·波特曼"",""蕾切尔·薇兹"",""大卫·斯特雷泽恩""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2237042966.jpg,1499148,https://movie.douban.com/subject/1499148/,蓝莓之夜
9.4,"[""查克·罗瑞"",""比尔·布拉迪""]","[""吉姆·帕森斯"",""约翰尼·盖尔克奇"",""凯莉·库柯"",""西蒙·赫尔伯格"",""昆瑙·内亚""]",50,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1864635725.jpg,3190880,https://movie.douban.com/subject/3190880/,生活大爆炸  第二季
8.8,"[""今敏""]","[""林原惠美"",""古谷彻"",""江守彻"",""山寺宏一"",""堀胜之祐""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p672363704.jpg,1865703,https://movie.douban.com/subject/1865703/,红辣椒
